algorithm,n_shot,k_disclosed,key_seed,data_seed,consistent_keys,capped,unique,solver_recovered_true_key,nodes_expanded,elapsed_sec
func_13,5,0,0,0,10000000000000000000000000000000000000000000000000000000000000000000000000000,True,False,False,20,0.0
func_13,5,0,1,0,10000000000000000000000000000000000000000000000000000000000000000000000000000000,True,False,False,17,0.0
func_13,10,0,0,0,1000000000000000000000000000000000000000000000000000000000000,True,False,False,31,0.0
func_13,10,0,1,0,100000000000000000000000000000000000000000000000000000000000,True,False,False,32,0.0
func_13,20,0,0,0,1000000000000000000000000000000000000000000,True,False,False,39,0.001
func_13,20,0,1,0,10000000000000000000000000000000000000,True,False,False,44,0.001
func_13,26,0,0,0,10000000000000000000000000000000000,True,False,False,41,0.001
func_13,26,0,1,0,1000000000000000000000000000000,True,False,False,46,0.001
