algorithm,n_shot,k_disclosed,key_seed,data_seed,consistent_keys,capped,unique,solver_recovered_true_key,nodes_expanded,elapsed_sec
func_22,5,0,0,0,10000000000,True,False,False,12,0.0
func_22,5,0,1,0,100000000000,True,False,False,11,0.0
func_22,10,0,0,0,100000,True,False,False,5159,0.071
func_22,10,0,1,0,100000,True,False,False,5448,0.065
func_22,20,0,0,0,52,True,False,False,2000001,188.583
func_22,20,0,1,0,421,True,False,False,2000001,204.368
func_22,26,0,0,0,0,True,False,False,2000001,368.036
func_22,26,0,1,0,0,True,False,False,2000001,277.652
